,review,sentiment
41690,"I watched this movie really late last night and usually if it's late then I'm pretty forgiving of movies. Although I tried, I just could not stand this movie at all, it kept getting worse and worse as the movie went on. Although I know it's suppose to be a comedy but I didn't find it very funny. It was also an especially unrealistic, and jaded portrayal of rural life. In case this is what any of you think country life is like, it's definitely not. I do have to agree that some of the guy cast members were cute, but the french guy was really fake. I do have to agree that it tried to have a good lesson in the story, but overall my recommendation is that no one over 8 watch it, it's just too annoying.",negative
41692,"This cosy middle class sitcom became the subject of much hatred by the new breed of talented comedians in the 1980s, such as Ben Elton. Did it deserve such malice? Well Terry and June was never clever, it was never a well-written tale with different threads which intersect at the conclusion. It was the show your mother and father and probably grandparents watched. They chuckled rather than laughed, but they were never likely to be offended by the show, so the fact that it never challenged them was immaterial.<br /><br />One Foot In The Grave suffered initially because it appeared at first sight to be just another Terry and June.<br /><br />A few days after the death of Terry Scott an episode was broadcast on terrestrial TV, and that has been its final outing. There have been few repeats of the show on any TV channel.<br /><br />Thankfully TV comedy has advanced since Terry and June. It's hard to find kind words for it - Terry Scott did make the best of weak scripts.",negative
41703,"This sleek, sexy movie is a must-see. Only upon multiple viewings can one truly understand the uniqueness of this film. Personally I enjoy the narrator for his intelligent, no subject left untouched, style of narration. The introduction grips you right away, and holds you at the edge of your seat throughout the film. He provides wonderful insight into the world of the trainables and allows the audience to really 'connect' with internal horror this film exhibits. The script itself holds the movie together wonderfully. Not only for kids, but the elderly alike will gain a higher understanding of the trainables and the modern grasp that they have on the sexual experience. Ahead of its time and groundbreaking in cinematography, it surely defines the word 'masterpiece'.",negative
41707,"Following the World War II Japanese attack on U.S. forces at Pearl Harbor, ""The Eastside Kids"": Leo Gorcey (as Muggs), Bobby Jordan (as Danny Connors), Huntz Hall (as Glimpy), David Gorcey (as Peewee), Ernest Morrison (as Scruno), and Bobby Stone (as Skinny) want to serve their country. But, both the U.S. Army and Navy reject them as too young. Still wanting to ""knock off about a million Japs"", the ""boys"" attack an Asian clerk, who turns out to be Chinese. The unfortunate incident does, however, lead the gang to help uncover some really nasty Japanese and German people.<br /><br />If ""too young"" is defined as ""under twenty-one"", only Mr. Jordan and Mr. Stone would be rejected for military service. But, it's possible recruiters were turned off by the office manners displayed by Mr. Gorcey and Mr. Hall. ""Let's Get Tough!"" was made during what the script accurately describes as ""open season on Japs"" - for this and other reasons, it hasn't aged well. It's a wasted effort, but the regulars performs ably, with Tom Brown moving the storyline along, as Jordan's spy brother.<br /><br />*** Let's Get Tough! (5/29/42) Wallace Fox ~ Leo Gorcey, Bobby Jordan, Tom Brown",negative
41709,"It is an interesting fact that metaphysics by Platon and Aristoteles, formal logic and abstract ontology form about those sciences that most people are not interested in. But then, around one thousand years after Aristoteles, the computer began to usurp the human thinking, and the humans who were refusing to reflect questions of being other than biological, physical and chemical ones, suddenly felt paralyzed because they could not cope with the consequences that this computers would bring ""over night"". R.W. Fassbinder's ""Welt Am Draht"", together with Tarkovsky's ""Solaris"" and Godard's ""Alphaville"", is probably the first movie who took the philosophical questions of emerging computer science as a basis of a story to be told in a movie. The confusing questions about identities and realities are cleverly built into different interwoven criminal stories which the audience really tries to follow because it is interested to solve the cases. Fassbinder was a master to sell highly abstracts contents to his public by embedding theoretical knowledge into practical, appetizing forms. The basis problem to understand is that an identity defines a reality, but on the other side, a reality also requires identity in order to be perceived. The idea of a person with multiple identities is known to us solely from the standpoint of psychiatry. However, logically spoken, the only reason why we have just one identity, is the fact that our logic has only two values (right and false). Now take a logic with just one more value, i.e. with three: Then, as you can easily see, you have already three identities. What happens now, when, let us say, Dr. Stiller gets killed? Then, it is quite possible that only one of three identities is abolished and the other two remain and are able to rescue the individual from death. Another question is, if a person with multiple identities actually feels these identities at once. The idea, however, to display such sets of identities in a up-down or down-up way as shown in the scene with the elevator in the hotel, is misleading, since identities and hence realities are not structured in Hierarchical, but in a Heterarchical way. Strictly speaking, there is no ""artificial identity"" either, since each identity is defined over two objects who share all of their features with one another. Therefore, the idea of assuming that every individual has just one single identity is nothing but a consequence of ancient two-valued logic either (a second identity would imply that a person, at the same time, exists and not-exists). But now look around and see that one and the same object (which is by definition self-identical) is perceived by every subject in its own way. If therefore every subject sees an object differently, why should it no be possible for the single individual to open the borders of his two-valued individuality-corset, with the effect that different persons can exchange their different Individualities? Fassbinder would five years later pick up this topic in his masterpiece ""Despair. A trip into the light"".",positive
41764,"the photography was beautiful but i had difficulty understanding what was happening... was there a lot of symbolism?... the 2 goldfishes - do they mean something in Thai culture? there's not much plot, not much happens and it just meanders along. no real start, no real middle and no real end. rather unsatisfying really.<br /><br />It was difficult to get into the characters as you never felt you got to know them...it was difficult to know which scenes were imaginary and which were real. The move felt chaotic and disjointed. I don't know what the pang brothers were hoping to achieve. Maybe if I were Thai it would make more sense...",positive
41766,"Legend has it that at the gala Hollywood premiere screening of 2001: A Space Odyssey, about 20 minutes into the film Rock Hudson yelled out ""Would somebody please tell me what the hell this movie is about?"" Well, I have Rock beaten by about 19 minutes, 59 seconds. This movie made absolutely no sense at all. Who were those people? Where were those people? What were the rules of the game called Quintet? Are there any rules to Quintet? Were Robert Altman and his cohorts making the movie up as they went along? What was Paul Newman thinking when he signed on to this? Maybe ol' Fast Eddie saw Zardoz and thought ""Well if Connery can get involved in a futuristic film that makes no sense, so can I."" Maybe the good stuff is on the cutting room floor and all we get to see is the incoherent stuff. Also, did all the cast get to keep their individual funny hats? You never saw such bizarre looking hats all in one place in your life. Quintet just confirms what I've always thought: when Altman's good he's superb, but when he's bad, he makes stuff like Quintet",negative
41785,"The Twilight Zone has achieved a certain mythology about it--much like Star Trek. That's because there are many devoted lovers of the show that no matter what think every episode was a winner. They are the ones who score each individual show a 10 and cannot objectively evaluate the show. Because of this, a while back I reviewed all the original Star Trek episodes (the good and the bad) because the overall ratings and reviews were just too positive. Now, it's time to do the same for The Twilight Zone.<br /><br />Now I was very surprised when I saw reviews for this bland episode that described it as being ""among the best"" and gave it scores of 10. If this is the case, then why is it that everyone I know who has seen this episode hates it as much as I do? It's possible that me and my family and friends are all cranks but it's also possible this is yet another case of rabid fans rabidly inflating the rating on an average or below average episode.<br /><br />The episode itself stars William Windom and others as various archetypes--a soldier, a dancer, etc. They are all stuck in a cylindrical room with no escape and only at the end do you realize the ""shocking truth""--which isn't at all shocking and is in fact majorly lame. No, this is a badly written and unengaging episode. Yes, there were plenty of episodes of the series that deserved a 10, but few as undeserving as this one due to a shallow script and an unappealing resolution.",negative
41794,"David Mackenzie's follow-up to the brilliant Young Adam wants to be a feel-good underdog story of a lonely voyeur who is trying to confront some psycho-sexual issues with his dead mother. It wants to be gritty, realistic, and mysterious. At the same time, it wants to be funny and nonjudgmental of its disturbed lead as he establishes himself as an adult.<br /><br />To meet this end, the film tries hard to be youthful. Its poster has hand-drawn letters looking like that of Juno. Its original soundtrack is comprised of fast-paced indie rock which tries to convince the audience that Hallam is OK; just a little misguided. But strangely the film is anything but youthful.<br /><br />Like Young Adam this film's central mystery concerns a drowned woman- in this case Hallam's mother. Young Adam keeps its mystery quiet, contemplative, and paced well enough to hit you with the truths as they come. Hallam Foe does the opposite. It foregrounds its character's psychosis so clearly and so early that he never really does anything outside his expected parameters. The opening scene is Hallam in his treehouse watching his sister fooling around with her boyfriend. Hallam swiftly interrupts, asserting his presence in the household. Here we see everything that Hallam will do for the rest of the movie.<br /><br />The mystery surrounding his mother's drowning is whether it was suicide or murder by his father's girlfriend. The audience can never really trust Hallam because, besides being creepy, we think his obsession has led him close to insanity. This hindered the mystery element for me because Hallam is too sporadic to be relatable. Right when he's found some clues that would support his claim he runs away from home, at first it appearing to be looking for the police. Then he gets extremely sidetracked by a girl who resembles his mother, which frustratingly leads the story away from the mystery element.<br /><br />While Jamie Bell does bring out some very endearing traits in his lost character, he was limited by the obviousness of his psychological needs. This movie is in no way mysterious, yet it is not blunt either. It tries to be realistic in dealing with such issues, but it adds a very self-conscious spunk which registers itself as quite the opposite. It goes for a soundtrack-heavy, Trainspotting attitude to help the audience root for a protagonist who scales buildings, picks locks, and camps out for the sake of voyeurism. These urban peeping tom adventures Hallam engages in are way too difficult for an inward-drawn country boy to engage in and they are not sexy, giddy, or pleasant. They are more neutral than anything; not propelling the character or story. Mackenzie makes you understand Hallam, yet he fails to build common ground.<br /><br />He expects you to enjoy Hallam's trials and tribulations without much ideological justification. The film hinges on its audience's perspective on voyeurism/the kind of person who engages in it. Obviously, most people would be disgusted by it. And Hallam Foe realizes that, but it does not let us see Hallam weigh the morality of his decisions. He goes from person to person, trying to fill his deep void. There is a particularly disturbing line from Hallam's love interest Kate where she drunkenly says ""I love creepy boys,"" perhaps asking the audience to do the same. The line tries to foreshadow her understanding of him (her motivation remains vague throughout) and tries to further us from judging him. It's not hard to like Hallam, but it is very hard to participate in his adventure- if it is even an adventure at all. All the while, the film tries to use its flamboyant soundtrack to mask its indecisive mood.<br /><br />Great performances are weighed down by a film with a weak third act, muddy development, and needlessly ambiguous direction from Mackenzie. Recently this film was re-named for a US release, and for what reason? Not only is it more unappealing, but the hard truth is that the Hallam character never earns the title 'mister.'",negative
41800,"The real irony is this: Joe Besser was a top notch comedian, in other situations away from the Stooges. He had a definite track record for being very funny and clever. Moe and Larry and Shemp had actually known him or at least of him for many years and liked his work. So what on Earth was going on when he joined the troop as the ""third stooge""? Obviously, nothing. In most of these ""late Stooge"" era shorts, more often than not, the boys are pitted against each other or Joe against the other two and this is not accurate Stooge etiquette. ""One for all, all for one, every man for himself"", to quote Curly from ""Restless Knights"". One thing about a good comedy team, Laurel & Hardy, Abbott & Costello, The Marx Brothers, no matter how much they all try to take advantage of each other or slap each other around, when the chips are actually down, they stick together and come to each other's aid. In this particular one, none of that happens. It's almost like watching a dog fight as one tries to cheat the others or be mean and nasty, and not for comedic effect either. One might assume that there was something behind the scenes going on here, art imitates life. Maybe there really was hence why Besser did not stay very long with Moe and Larry. Just look at the history of the other teams and tell me I'm wrong.",negative
41833,"Note that I did not say that it is better...just more enjoyable. The lack of social commentary and realism helps keep things moving.<br /><br />I was actually sort of surprised that this was not a Troma movie, as it has all the Troma trademarks, including spewing acidic liquids, wisecracks from the villain after every murder, a ridiculous bathtub rape scene (which is sort of hard to get upset about, since the rapist is a snowman), and dumb deputies.<br /><br />There's a lot to love: <br /><br />1. A snowman, about whom it is remarked that he has no legs or feet, drives a police cruiser around town.<br /><br />2. Even though it is supposed to be close to (or below) freezing, nobody's breath shows and there are no signs of car exhaust when cars are running.<br /><br />3. The snow reminds you more of flocking or Styrofoam peanuts than actual snow.<br /><br />4. A teenage girl gets the hots for her boyfriend just a few hours after her brother is gruesomely murdered. She talks him into breaking into the sheriff's house, of all places, in order to get it on. But first, she tells him that he has to build a nice fire in the fireplace and open some wine.<br /><br />5. After teen-aged Jake's head is cut off by a sled runner, his father argues with the sheriff about whether Tommy, the sheriff's son, had anything to do with it. The sheriff maintains that Tommy wouldn't have been fighting with Jake because Jake ""is at least two feet taller than Tommy."" At that moment, someone in the background chimes in, ""Not anymore!"" <br /><br />6. When the evil snowman finally starts to melt away, the sheriff wrestles with a flat snowman made out of some sort of fabric for an extended period. This is much better than Tarzan wrestling with rubber crocodiles or gladiators wrestling with stuffed lions. If I were an actor, I would not have been able to keep a straight face at this point.<br /><br />All in all, a fun film. There's not really even that much blood.",positive
41845,"I saw this when it first came to video, my little sister got it as a gift and I was probably 12 at the time... What stood out for me was the lack of mid-movie conflict that so many movies have, where the main characters get mad at each other because when it comes time to explain themselves they just don't say the one thing that you're shouting at the screen that would make sense of the whole deal, that any person of reasonable intellect would know to say. This is what I like the most about the movie I guess, that the main characters don't do mean things to each other halfway through... they don't break up and make up, they just grow to like each other more as the movie goes on.<br /><br />These two kids team up and though they seem at first to be from opposite sides of the track, they're not that different. Loui is actually just some middle class kid that needed to realize how lucky he was to have a loving family, and Cecelia was an upper class kid that just needed to prove to her family that she existed and they would miss her if she was gone. Anyway, I saw this movie posted on Hulu and had to watch it again... sure there's plot holes if you analyze the script and no, Woog and Dweeb shouldn't be eating hot dogs since they would have been herbivores in reality.<br /><br />Now, what detracts from the film is it's unexpected scariness. Little kids under the age of 5 would probably be frightened by the scenes with Dr. Screweyes. And, the addition of him halfway through the movie (though it's blatantly obvious in the first scene that he will make an appearance) is too abrupt... there should be a glimpse of him doing his show earlier in the movie, perhaps to show that it's not that scary without the the dinosaurs. I guess it just lacked any real present danger for the entire first half of the movie, so that it lacks a little continuity when he appears for the second half.<br /><br />Considering the target audience, who I'm sure can overlook the not so mind blowing animation and dialog issues... I think I'll give it a pass on those factors too, and just enjoy the story. It's a great flick for kid and it does stick in your mind... makes you kinda think about how you treat people and it should be revisited every 10 years I think.",positive
41865,"I think this would have been a much better film if the Cajuns had been portrayed in a more believable light. My family is from the southeast region of Louisiana and I live in southeast Texas (about 20 miles from Lake Charles). I have never heard the people I grew up around talk like these folks did. The Cajuns were portrayed as backwards rednecks. Most of the Cajuns I know are well educated, proud people and don't sound uneducated at all when they talk the way these people did. All in all it was an OK movie, with great scenery and music. I understand that the writers were from Lake Charles, and have knowledge of the area, but for the love of all things Cajun, please have the actors study the language, live amongst the people you are portraying and get an all around understanding of how they are before you go trying to act like them. In my opinion, when the actors make you believe they are that person, it's a much more enjoyable movie!",negative
41866,"This show has all the typical characters in a comedy: the good guy, the idiot, the pervert, the rich girl... but it's set on the 70's. That's the only difference that it has with other TV comedies. I don't know how you can like this show. Its humor is pathetic! I mean, the jokes are so direct... A typical dialog is this: ""Fez: Oh, Jackie I want to have sex with you. (audience laughs) Jackie: Fez you're a pervert. (audience laughs) Fez: Oh yes I am. (audience cheers and applauds)"" This isn't funny. I think that if it didn't have those laughs (I don't know how you call that in English, sorry) you wouldn't laugh at all. This isn't intelligent comedy, this is an insult to the public. I like most of the American comedies, but this isn't good at all. I would give it 4 out of 10. (Sorry for my poor English again.)",positive
41867,"This appears to be two movies spliced into one. In the first, ZaSu Pitts is a renegade in a small town. She wants to help the romantic life of Marjorie Woodworth. OK: I'd never heard of her before either. But she and Pitts are in both parts of this concoction.<br /><br />Before we know it, Pitts is no longer Miss {Polly. She is Emmie. I had to rewind to see if I'd fallen asleep somewhere. I hadn't. She no longer in a small town but on her way to the title Honeymoon destination.<br /><br />The movie has some cute moments. The first part is better, with roles for what seems to be every third-rate character actress working in Hollywood at the time.<br /><br />And what of Ms. Woolworth? She sounds a little like Betty Hutton. She sounds a little like Marie Wilson. She's pretty, certainly. But she's no comedienne.<br /><br />Pitts often was used in very small roles. Here she has the largest role. She's always fun, though this movie made me wonder if a little of her doesn't go quite a long way. (As a comic. When she was a tragic actress in Von Stroheim silents -- ""The Wedding March"" and Greed"" are the two I have seen -- she was brilliant.)",negative
41871,"This is the most frightening film ever made in Hollywood. It is a cautionary tale of how to take a European masterpiece and suck the life of of it until it is a dry husk like an insect carcass on the the windowsill. Frightening because it reveals how the world of Hollywood really works: ignorant money begetting dross. It makes me wonder how many great films could populate the corridors of my memory if the Hollywood process had not leveled them to forgettable mediocrity. Cry for the murdered children! See Spoorloos or read The Golden Egg, if you dare, because they will come back to you forever in the idle moments of your life: when you're walking along the street and you see a 'missing' poster; in ordinary-looking parking lots; when you hear the Tour De France on the radio; and, especially, when you you think ""what's the harm?"" in wearing a sock with a hole in it on a perfectly ordinary day.<br /><br />If only I could give this a zero.",negative
41881,"""Miss Cast Away"" is an amusing trifle, which dispenses with serious plot or character development to pack in as many gags as possible. Best enjoyed with a large audience that is open to such entertainments and perhaps, has had a few drinks. Most of the jokes are current-event based so in future years this film may become a time-capsule of turn-of-the-21st-century pop culture references.<br /><br />The 30i to 24p conversion of the footage does create a jerky appearance in some parts, most noticeably the opening aerial shots.<br /><br />The appearance of Micheal Jackson is indeed a strange non-sequiter event. But I, for one, find it encouraging that Mr. Jackson has shown a helpful interest in one of his protégés even after he (the director) has passed from the cute-preteen-boy stage.<br /><br />The effects work is not as bad as one review suggested. Most of it was done by a one-man crew in a brief span of time consisting of animator William Sutton, whose name seems to have been omitted from the IMDb credits. His work is an extraordinary achievement and really helps to fill in the gaps in this movie. I hope he's finally been paid!",positive
41886,"After tracking it down for half a year, I finally found a copy and it was not disappointing.<br /><br />Not disappointing because I'm one of those die hard SMAP fans who need to see all their works and I finally got to see the so called hot film of Goro. But I couldn't believe Goro was forced to make a movie as such. In his respectable self now, I'm sure he cringes that he made this movie. Nevertheless, they found the perfect person for looking embarrassed, ill at ease and half depressed most of the time.<br /><br />Man, I still can't believe he made this movie...I had to cover my eyes at many parts not believing he really made such a movie....hahahaha....<br /><br />But I'm glad to have watched it. Thank goodness he has grown up....",positive
41899,"It is so rare that I get to rate a movie without having some reservation as to whether I should have gone up one or down one but this one.....Did the explosion rate a notch higher, or one down because my brain hurt trying to CREATE a plot. No, THIS ONE....yeah, a solid, no brainer.....ONE/ten",negative
41905,"Water shows the plight of Indian widows in the late 1930s, says in the end that the problem still exists largely by giving statistics in the end, refers to Gandhi several times in the movie before finally having a scene depicting him and does nothing extra ordinarily innovative or new in the movie. Yes, the cinematography is pretty impressive but that cannot be the soul of any movie for me. <br /><br />India has had several problems like many other nations but it has got rid of many of these problems at large. What if a movie is made on racism in America in a particular year which ends with 'x number of Americans still experience racism today'. <br /><br />a) How would it be relevant, and, b) How would it be some thing so extra ordinary being depicted in cinema.<br /><br />A view I read from a Deepa Mehta interview was that this movie is being interpreted as a voice for the marginalised every where. From reviews I read every where, the common thing I am hearing is how the director did a great job and was brave in bringing a problem to the world. The movie is more about a specific problem a society faced (and has got rid of through reforms at large). <br /><br />I do not see any thing earth shattering about the movie. Moreover, the movie lacked soul and shifted between the plots of Chuiyya and Kalyani. Sarala, the young Sri Lankan actress, portrayed the role of Chuiyya superbly and that was the only thing which impressed me about the movie, sadly.",negative
41909,"If you and your friends find as much humor and enjoyment from horrible acting, jokes, props, and overall film making as me and my friends, you need to rent this.<br /><br />From simply reading the tag line and seeing how not funny it is, you should assume more not funny, poor quality, great, hilarious content through out. Its a tale of some of kids who defy every law of physics and reality and fly back in time through a modern day big screen TV to a world of dinosaurs who eventually become their friends. Not to mention a hilariously serious scene where T-Rex becomes a father figure for one of the kids. Yeah...<br /><br />It should be in the comedy section but you'll find it with kid movies if you find it at all. So call your friends over, sit back, relax, get ready to laugh, and enjoy. You will be quoting the laughably horrific one liners in this movie for weeks. ""Whats with all the ruckus?!""",negative
41923,"Somehow, I really thought that I was going to enjoy this film because I love pictures with mountain climbing and a great mystery in the plot. I must say that the photography was fantastic and there was some scary scenes that captured my attention. I thought that Nicole Eggert,(Diana Pennington),""Thank You, Good Night"",'01 played a very convincing role as a young girl who had a tragic loss in her life and meets up with some characters who want her to guide them up the mountain. Marc Singer, ""Angel Blade"",'02, played a very unconvincing weird guy and over acted in many scenes with a bad temper that looked comical. This film was a big disappointed and not worth watching, unless there is nothing on the TV to ENJOY!!",negative
41925,"Convoluted, infuriating and implausible, Fay Grim is hard to sit through but Parker Posey is really the only actress who could take this story and run with it. She's at once touching,funny, cunning. The supporting actors commit to it as well.<br /><br />I wont even try to tell you the plot.. It involves characters from Hartley's Henry Fool and attempts a tale of international espionage.<br /><br />The film works well if you continue along with it-understanding it is. in a sense, completely ridiculous. It becomes more and more ridiculous as you plod along. (I resisted the temptation to turn off the DVD twice).<br /><br />Fay Grim requires an adventurous film-goer willing to tackle something that isn't cookie-cutter. In the end, it offers something that defies description.",positive
41929,"I rented this some years ago, the video store had only VHS at the time. Straight to video was hitting it's strides (you know, where the box covers use the same font and color schemes of successful films).I didn't know what to expect other than what was printed. First thing I thought while watching was ""what the hells' wrong with the sound?""-Obviously there was no dialogue dubbing. Words echoed, so I stopped munching on whatever I had to pay closer attention-mind you there's no Shakespeare here!,just simple talk. The story is simple enough, boy meets girl etc.. What struck me as humorous and heartfelt was, the people in the movie didn't seem like caricatures written into the story,but rather non-actors plucked temporarily from their real jobs(uniforms included). All the while, you begin to sense what the filmmaker is after,then see that there are no attempts at cheap humor(people hurting their privates,using vulgarities this couldn't have hurt the marketing. There was something honest about it. I thought if they'd have a bigger budget then it would have been better, which i'm sure they considered daily,but, they went ahead and made it. This, I felt, was what independent film-making is all about.The word ""Indy"", is thrown around as if it's a Genre..Ha!..that's funny!",positive
41941,"Veteran sleazeball Bruno Mattei is at it again with this erotic thriller that clearly echoes Joel Schumacher's 8MM. But, as expected, Mattei does his movie on a minuscule budget - so that it already looks obscure when it's newly released.<br /><br />After her daughter gets abducted, a mother enters the dark world of underground pornography, because the kidnappers belong to an international organization that direct snuff films as long as the exclusive clients pay well. The search for her daughter does not only lead the mother across Europe, but also into prostitution. She goes to bed with some guys to get her clues. When she finally reaches contact with the snuff organization lead by the mysterious Doctor Hades, she's getting into great danger herself.<br /><br />There is not much good to say about this one, even though it starts promising. Problem is that the movie is by far not as sleazy or explicit as one might expect from the director who made films like BLADE VIOLENT. SNUFF TRAP (which was first released in Russia!) is neither gory enough nor does it contain the amount of nudity and sex to really keep the viewer's attention. The plot isn't that special either, except maybe for the surprisingly many different locations throughout Europe. The ending is hugely disappointing. The acting isn't really remarkable either, except for Anita Auer who plays Doctor Hades: She looks and acts extremely creepy. You don't want to meet her like this in a dark alley (or Your bedroom, for that matter).<br /><br />All in all, SNUFF TRAP only appeals to collectors of Bruno Mattei's films. But it's good to see the man back on the helm again: It was his first thriller since 1994's giallo GLI OCCHI DENTRO.",negative
41954,"I have spent the last week watching John Cassavetes films - starting with 'a woman under the influence' and ending on 'opening night'. I am completely and utterly blown away, in particular by these two films. from the first minute to the last in 'opening night' i was completely and utterly absorbed. i've only experienced it on a few occasions, but the feeling that this film was perfect lasted from about two thirds in, right through till the credits came up. everything about this film, from the way it was shot, the incredible performance of Gena Rowlands, the credits, the opening, the music, the plot, the sense of depth, the pace, the tenderness, the originality, the characters, the deft little moments.... for me, is truly sublime. i couldn't agree more with the previous comment about taking it to a desert island because the sheer depth of this film is something to behold. if your unlucky enough to have a house fire, i guarantee that instead of making a last ditch attempt to rescue that stash of money under your bed, you'll be rescuing your copy of this film instead.",positive
41958,"Gruveyman2 (comment below)you are a complete idiot...blinded by ignorance by the very city you have allegiance to. Its that whiny arrogance, that you are ironically claiming the film exudes about SF, that makes you seem like such the typical LA A**hole! The only reason you felt the film was so self congratulatory about SF is because you are jealous. Of course you don't know it because you are so LA jaded. First of all the film was completely factual about a beautiful city; what has been filmed there and what has been filmed by some of its more famous locals. It says nothing bad about LA; and these accomplished directors choose to live in a beautiful city over LA. They recognize that they went to film school in LA and are obviously proud of that fact. They recognize that SF is close to LA which is a benefit. The only negative thing that was said that relates to LA, was about the studio executives. The same studio executives that hated these guys movies when they first saw them, but then those same movies went on to be huge world-wide grossing films. So why wouldn't they have animosity towards the studio executive establishment and studio system? These are the only people they are trying to ""disassociate from"" and for good reasons! Don't be so sensitive! How can you say that Francis Ford Coppola is the ""so called"" San Francisco director? How is he not to be considered that? And who directed The Godfather? Coppola did. It was his vision that told the story on the screen that won it a best picture award. So what who gave him the job? He admits it in the documentary that he didn't even want to do the movie....so what's your point? And so what if Sophia wants to live in LA? And that proves your point how? And tell me how they are not truly independent when they are funding a lot of their own movies. Movies that are now considered classics. And, when they made movies from studio funding, one, it was LA that came to them and said we want you to make these pictures and two, they used the money that they made from doing these pictures to fund their own. They said exactly that in the film.<br /><br />""Your bitchy and self congratulatory whining would take on an air of greater self respect and credence if you never set foot on the ground you so claim to be superior to in this film.""<br /><br />How the hell can ""bitchy-ness"" and ""self-congratulation"" suddenly have an ""air"" of self respect and credence....if they never go to LA again? What a stupid and senseless comment! You inserted some big words in there....and just don't know how to use them! And, by the way, they never claimed nor implied they were superior to LA! So what if they are giving a guy from New York an award in LA....again what the hell is your point? So if they go to LA or New York they are hypocrites by simply preferring to live in SF? You make no sense.<br /><br />San Francisco is proud of itself and its heritage and the people who make it what it is today. This film just focused on one aspect...film-making. For you to take the time and type up such nasty comments about the city (not the movie! But the city and its people) only proves what it is we Northern Californians hate about people from LA! THIS IS A GREAT DOCUMENTARY...VERY INTERESTING, ESPECIALLY IF YOU ARE FROM THE BAY AREA...BUT I RECOMMEND IT TO ANYONE.",positive
41964,"I would think that this was one of those films whose director hadn't read the book it was based on, were it not for the fact that they are just slightly similar. It is certainly possible for a great film to be ""based"" very loosely on a book and this was certainly the latter but not the former.<br /><br />There were a number of flaws. One was that it tried to be too much like the Railway Children, probably because adults would expect this, being from the same author. Another is that it also sought to be too like Harry Potter, down to the music and in overemphasizing the setting. I have nothing against J K Rowling or the films but the book is just nothing like the Harry Potter ones. I thought the Psammead, though very well voiced by Eddie Izzard and in character too, was almost gratuitously in a totally inappropriate environment. I may have missed something here, as the comments made about one of the characters' own books may have been a reference to the inaccuracy of the adaptation. There was also no need for the extra characters, and today's special effects could easily have been used to tell the story as it was written, but they weren't.<br /><br />I saw this film with my two children, one of whom knows the book and the other of whom doesn't. The one who does know it thought it was all right but wasn't as enthusiastic as the one who doesn't. I'm not sure what this means.",negative
41968,"You may like Tim Burton's fantasies, but not in a commercial-like show off lasting 8 minutes. It demonstrates good technical points without real creativity or some established narrative pace.",negative
41976,"Jude Law gives his all in this beautifully filmed vampire flick which offers little else of value. Completely lacking in eroticism, excitement, or leading ladies with appeal. One decent fight, a few moments of mild suspense. And a one-note plot.<br /><br />The movie waxes philisophic in a series of conversations between Law's character and a dogged homicide detective, well played by Timothy Spall. But despite their best efforts, both actors are staked to the cross of the film's banality.<br /><br />With a lesser actor in the lead role -- and without the benefit of Oliver Curtis's cinematography -- Crocodiles would blend into the sea of low-budget vampire quickies.",negative
41994,"Stupid, Stupid, Stupid. I think that Angelina Jolie is probably one of the most talented actress' today, but a movie like this isn't just worth her time. She deserves better, and so does everyone else in this movie. Talent is just wasted. Sorry, but i don't feel like writing a review for this.<br /><br />I give it NO stars out of *****.",positive
